Code,WC PELE
ESP,2077
ARG,2065
ENG,2027
FRA,2026
BRA,1989
GER,1975
POR,1972
NOR,1953
COL,1949
NED,1939
ECU,1932
URU,1931
TUR,1909
SEN,1897
BEL,1892
SUI,1889
CRO,1877
JPN,1872
MAR,1866
PAR,1855
MEX,1853
AUT,1832
USA,1810
CAN,1806
SCO,1802
ALG,1794
SWE,1781
CIV,1777
AUS,1772
KOR,1770
EGY,1770
CZE,1769
PAN,1739
COD,1729
IRN,1722
UZB,1714
BIH,1706
TUN,1695
RSA,1667
GHA,1662
JOR,1661
IRQ,1653
NZL,1639
HAI,1637
KSA,1632
CPV,1621
CUW,1570
QAT,1550
